76	47	15	45	29	18	24	31	85	77	-8	21	70	82	56	14	20	48	69	80	30	81	74	26	63	16	62	11	6	52	8	4	51	25	41	9	22	57	7	67	1	55	38	50	40	17	-7	23	60	-1.5	-6	71	-1.5	72	2	28	37	79	49	19	10	68	34	42	33	3	59	-1.5	-5	78	12	58	13	5	-4	73	27	43	46	53	54	32	39	75	-1.5	61	35	65	44	64	66	84	83	36
23	48	24	45	32	14	22	34	30	85	-8	19	73	76	60	13	18	50	72	82	33	83	78	26	66	12	84	10	5	54	8	3	53	25	49	9	20	62	7	69	1	57	40	52	42	15	-7	21	61	-1.5	-6	74	-1.5	75	6	29	39	80	51	16	70	71	36	43	31	2	64	-1.5	-5	79	11	63	17	4	-4	77	28	81	46	55	56	35	41	58	-1.5	65	37	47	44	67	68	59	27	38
26	52	28	49	35	15	25	37	75	85	-7	20	77	30	61	14	18	-8	39	-5	36	13	83	31	21	12	34	10	6	57	44	4	55	29	68	9	23	65	7	73	1	63	45	54	47	22	8	24	67	-3	-6	78	-1	79	5	33	43	84	56	16	19	76	40	48	70	3	64	-1	-4	82	11	66	51	-1	72	80	32	62	53	59	60	38	46	81	2	69	41	27	50	74	71	58	17	42
32	53	33	15	40	22	31	58	6	50	-5	27	76	80	85	25	23	16	79	7	74	-2	83	36	28	21	0	1	14	60	45	13	56	35	68	17	29	64	-6	72	10	59	46	55	48	18	20	30	66	9	5	75	11.5	78	3	38	44	84	57	24	39	73	41	49	70	4	67	11.5	8	81	19	65	52	-1	-4	77	37	-3	54	63	61	42	47	-8	2	69	43	62	51	82	71	-7	34	26
5	68	59	24	16	31	17	35	81	22	76	-2	-7	6	9	74	4	75	-8	-4	-3	27	55	25	12	15	77	35	84	-1	54	29	28	66	62	20	45	42	51	23	35	11	35	38	19	21	60	13	47	48	41	44	40	-5	32	78	43	14	-6	8	65	82	52	39	67	53	26	46	69	58	50	79	3	18	57	1	7	71	10	85	72	63	2	49	56	35	61	64	0	30	70	80	83	73
83	65	39	7	3	1	4	35	63	9	-6	58	76	62	77	85	66	51	75	23	81	82	33	50	72	2	69	46	78	31	80	8	28	52	45	48	32	16	70	11	0	15	13.5	27	74	13.5	42	84	20	21	22	18	24	-7	-8	60	17	-1	61	-3	49	71	26	30	79	37	6	19	56	38	10	40	64	5	36	-4	-2	12	73	67	59	44	53	25	34	29	43	47	-5	68	55	41	54	57
4	82	32	2	9	7	10	71	67	40	-5	60	77	52	79	61	69	59	0	37	-3	83	42	53	74	8	73	48	78	11	81	14	34	54	47	50	36	22	72	17	6	21	19.5	31	76	19.5	44	-4	46	26	27	24	28	-7	-8	64	23	5	85	1	51	75	30	35	80	33	13	25	57	38	16	41	68	12	-6	-2	3	18	84	66	63	65	55	29	39	15	45	49	-1	70	62	43	56	58
11	70	0	59	-5	85	46	64	52	27	68	7	82	1	37	79	25	80	-8	-1	-2	3	5	40	75	41.5	39	17	-7	6	35	33	58	69	9	16	61	56	49	26	31	13	29	60	43	34	21	24	4	53	44	50	18	51	81	67	54	28	83	30	8	20	-4	55	65	62	32	38	77	23	45	41.5	73	22	48	76	78	71	74	84	-3	14	10	63	-6	47	57	72	12	36	2	66	19	15
68	63	-5	80	34	-1	32	52	69	16	65	73	27	74	84	4	57	61	54	37	53	82	83	60	85	62	76	71	50	7	49	23	42	21	13	64	15	-7	8	-4	12	67	18	24	75	11	46	51	78	35	28	39	44	81	-6	77	22	17	79	41	-2	58	19	38	30	47	26	33	10	30	5	59	1	48	20	-8	9	55	72	14	3	66	43	40	45	-3	36	70	56	25	0	6	2	30
20	69	9	13	51	83	46.5	46.5	82	33	76	73	58	25	35	10	66	79	-8	54	63	28	67	68	26	80	78	4	65	17	27	32	59	39	29	70	62	-3	3	16	31	72	36	11	40	0	60	61	12	52	44	56	7	75	49	74	1	34	6	42	71	64	37	55	46.5	2	41	43	30	46.5	21	15	-2	-7	38	-6	24	84	5	85	23	77	-1	57	50	18	53	-5	8	-4	19	14	81	22
