0	-29	-61	-31	-47	-58	-52	-45	9	1	-84	-55	-6	6	-20	-62	-56	-28	-7	4	-46	5	-2	-50	-13	-60	-14	-65	-70	-24	-68	-72	-25	-51	-35	-67	-54	-19	-69	-9	-75	-21	-38	-26	-36	-59	-83	-53	-16	-77.5	-82	-5	-77.5	-4	-74	-48	-39	3	-27	-57	-66	-8	-42	-34	-43	-73	-17	-77.5	-81	2	-64	-18	-63	-71	-80	-3	-49	-33	-30	-23	-22	-44	-37	-1	-77.5	-15	-41	-11	-32	-12	-10	8	7	-40
-53	-28	-52	-31	-44	-62	-54	-42	-46	9	-84	-57	-3	0	-16	-63	-58	-26	-4	6	-43	7	2	-50	-10	-64	8	-66	-71	-22	-68	-73	-23	-51	-27	-67	-56	-14	-69	-7	-75	-19	-36	-24	-34	-61	-83	-55	-15	-77.5	-82	-2	-77.5	-1	-70	-47	-37	4	-25	-60	-6	-5	-40	-33	-45	-74	-12	-77.5	-81	3	-65	-13	-59	-72	-80	1	-48	5	-30	-21	-20	-41	-35	-18	-77.5	-11	-39	-29	-32	-9	-8	-17	-49	-38
-50	-24	-48	-27	-41	-61	-51	-39	-1	9	-83	-56	1	-46	-15	-62	-58	-84	-37	-81	-40	-63	7	-45	-55	-64	-42	-66	-70	-19	-32	-72	-21	-47	-8	-67	-53	-11	-69	-3	-75	-13	-31	-22	-29	-54	-68	-52	-9	-79	-82	2	-77	3	-71	-43	-33	8	-20	-60	-57	0	-36	-28	-6	-73	-12	-77	-80	6	-65	-10	-25	-77	-4	4	-44	-14	-23	-17	-16	-38	-30	5	-74	-7	-35	-49	-26	-2	-5	-18	-59	-34
-44	-23	-43	-61	-36	-54	-45	-18	-70	-26	-81	-49	0	4	9	-51	-53	-60	3	-69	-2	-78	7	-40	-48	-55	-76	-75	-62	-16	-31	-63	-20	-41	-8	-59	-47	-12	-82	-4	-66	-17	-30	-21	-28	-58	-56	-46	-10	-67	-71	-1	-64.5	2	-73	-38	-32	8	-19	-52	-37	-3	-35	-27	-6	-72	-9	-64.5	-68	5	-57	-11	-24	-77	-80	1	-39	-79	-22	-13	-15	-34	-29	-84	-74	-7	-33	-14	-25	6	-5	-83	-42	-50
-71	-8	-17	-52	-60	-45	-59	-41	5	-54	0	-78	-83	-70	-67	-2	-72	-1	-84	-80	-79	-49	-21	-51	-64	-61	1	-41	8	-77	-22	-47	-48	-10	-14	-56	-31	-34	-25	-53	-41	-65	-41	-38	-57	-55	-16	-63	-29	-28	-35	-32	-36	-81	-44	2	-33	-62	-82	-68	-11	6	-24	-37	-9	-23	-50	-30	-7	-18	-26	3	-73	-58	-19	-75	-69	-5	-66	9	-4	-13	-74	-27	-20	-41	-15	-12	-76	-46	-6	4	7	-3
7	-11	-37	-69	-73	-75	-72	-41	-13	-67	-82	-18	0	-14	1	9	-10	-25	-1	-53	5	6	-43	-26	-4	-74	-7	-30	2	-45	4	-68	-48	-24	-31	-28	-44	-60	-6	-65	-76	-61	-62.5	-49	-2	-62.5	-34	8	-56	-55	-54	-58	-52	-83	-84	-16	-59	-77	-15	-79	-27	-5	-50	-46	3	-39	-70	-57	-20	-38	-66	-36	-12	-71	-40	-80	-78	-64	-3	-9	-17	-32	-23	-51	-42	-47	-33	-29	-81	-8	-21	-35	-22	-19
-72	6	-44	-74	-67	-69	-66	-5	-9	-36	-81	-16	1	-24	3	-15	-7	-17	-76	-39	-79	7	-34	-23	-2	-68	-3	-28	2	-65	5	-62	-42	-22	-29	-26	-40	-54	-4	-59	-70	-55	-56.5	-45	0	-56.5	-32	-80	-30	-50	-49	-52	-48	-83	-84	-12	-53	-71	9	-75	-25	-1	-46	-41	4	-43	-63	-51	-19	-38	-60	-35	-8	-64	-82	-78	-73	-58	8	-10	-13	-11	-21	-47	-37	-61	-31	-27	-77	-6	-14	-33	-20	-18
-65	-6	-76	-17	-81	9	-30	-12	-24	-49	-8	-69	6	-75	-39	3	-51	4	-84	-77	-78	-73	-71	-36	-1	-34.5	-37	-59	-83	-70	-41	-43	-18	-7	-67	-60	-15	-20	-27	-50	-45	-63	-47	-16	-33	-42	-55	-52	-72	-23	-32	-26	-58	-25	5	-9	-22	-48	7	-46	-68	-56	-80	-21	-11	-14	-44	-38	1	-53	-31	-34.5	-3	-54	-28	0	2	-5	-2	8	-79	-62	-66	-13	-82	-29	-19	-4	-64	-40	-74	-10	-57	-61
-8	-13	-81	4	-42	-77	-44	-24	-7	-60	-11	-3	-49	-2	8	-72	-19	-15	-22	-39	-23	6	7	-16	9	-14	0	-5	-26	-69	-27	-53	-34	-55	-63	-12	-61	-83	-68	-80	-64	-9	-58	-52	-1	-65	-30	-25	2	-41	-48	-37	-32	5	-82	1	-54	-59	3	-35	-78	-18	-57	-38	-46	-29	-50	-43	-66	-46	-71	-17	-75	-28	-56	-84	-67	-21	-4	-62	-73	-10	-33	-36	-31	-79	-40	-6	-20	-51	-76	-70	-74	-46
-56	-7	-67	-63	-25	7	-29.5	-29.5	6	-43	0	-3	-18	-51	-41	-66	-10	3	-84	-22	-13	-48	-9	-8	-50	4	2	-72	-11	-59	-49	-44	-17	-37	-47	-6	-14	-79	-73	-60	-45	-4	-40	-65	-36	-76	-16	-15	-64	-24	-32	-20	-69	-1	-27	-2	-75	-42	-70	-34	-5	-12	-39	-21	-29.5	-74	-35	-33	-46	-29.5	-55	-61	-78	-83	-38	-82	-52	8	-71	9	-53	1	-77	-19	-26	-58	-23	-81	-68	-80	-57	-62	5	-54
