57	28	-4	26	10	-1	5	12	66	58	-27	2	51	63	37	-5	1	29	50	61	11	62	55	7	44	-3	43	-8	-13	33	-11	-15	32	6	22	-10	3	38	-12	48	-18	36	19	31	21	-2	-26	4	41	-20.5	-25	52	-20.5	53	-17	9	18	60	30	0	-9	49	15	23	14	-16	40	-20.5	-24	59	-7	39	-6	-14	-23	54	8	24	27	34	35	13	20	56	-20.5	42	16	46	25	45	47	65	64	17
4	29	5	26	13	-5	3	15	11	66	-27	0	54	57	41	-6	-1	31	53	63	14	64	59	7	47	-7	65	-9	-14	35	-11	-16	34	6	30	-10	1	43	-12	50	-18	38	21	33	23	-4	-26	2	42	-20.5	-25	55	-20.5	56	-13	10	20	61	32	-3	51	52	17	24	12	-17	45	-20.5	-24	60	-8	44	-2	-15	-23	58	9	62	27	36	37	16	22	39	-20.5	46	18	28	25	48	49	40	8	19
7	33	9	30	16	-4	6	18	56	66	-26	1	58	11	42	-5	-1	-27	20	-24	17	-6	64	12	2	-7	15	-9	-13	38	25	-15	36	10	49	-10	4	46	-12	54	-18	44	26	35	28	3	-11	5	48	-22	-25	59	-20	60	-14	14	24	65	37	-3	0	57	21	29	51	-16	45	-20	-23	63	-8	47	32	-20	53	61	13	43	34	40	41	19	27	62	-17	50	22	8	31	55	52	39	-2	23
13	34	14	-4	21	3	12	39	-13	31	-24	8	57	61	66	6	4	-3	60	-12	55	-21	64	17	9	2	-19	-18	-5	41	26	-6	37	16	49	-2	10	45	-25	53	-9	40	27	36	29	-1	1	11	47	-10	-14	56	-7.5	59	-16	19	25	65	38	5	20	54	22	30	51	-15	48	-7.5	-11	62	0	46	33	-20	-23	58	18	-22	35	44	42	23	28	-27	-17	50	24	43	32	63	52	-26	15	7
-14	49	40	5	-3	12	-2	16	62	3	57	-21	-26	-13	-10	55	-15	56	-27	-23	-22	8	36	6	-7	-4	58	16	65	-20	35	10	9	47	43	1	26	23	32	4	16	-8	16	19	0	2	41	-6	28	29	22	25	21	-24	13	59	24	-5	-25	-11	46	63	33	20	48	34	7	27	50	39	31	60	-16	-1	38	-18	-12	52	-9	66	53	44	-17	30	37	16	42	45	-19	11	51	61	64	54
64	46	20	-12	-16	-18	-15	16	44	-10	-25	39	57	43	58	66	47	32	56	4	62	63	14	31	53	-17	50	27	59	12	61	-11	9	33	26	29	13	-3	51	-8	-19	-4	-5.5	8	55	-5.5	23	65	1	2	3	-1	5	-26	-27	41	-2	-20	42	-22	30	52	7	11	60	18	-13	0	37	19	-9	21	45	-14	17	-23	-21	-7	54	48	40	25	34	6	15	10	24	28	-24	49	36	22	35	38
-15	63	13	-17	-10	-12	-9	52	48	21	-24	41	58	33	60	42	50	40	-19	18	-22	64	23	34	55	-11	54	29	59	-8	62	-5	15	35	28	31	17	3	53	-2	-13	2	0.5	12	57	0.5	25	-23	27	7	8	5	9	-26	-27	45	4	-14	66	-18	32	56	11	16	61	14	-6	6	38	19	-3	22	49	-7	-25	-21	-16	-1	65	47	44	46	36	10	20	-4	26	30	-20	51	43	24	37	39
-8	51	-19	40	-24	66	27	45	33	8	49	-12	63	-18	18	60	6	61	-27	-20	-21	-16	-14	21	56	22.5	20	-2	-26	-13	16	14	39	50	-10	-3	42	37	30	7	12	-6	10	41	24	15	2	5	-15	34	25	31	-1	32	62	48	35	9	64	11	-11	1	-23	36	46	43	13	19	58	4	26	22.5	54	3	29	57	59	52	55	65	-22	-5	-9	44	-25	28	38	53	-7	17	-17	47	0	-4
49	44	-24	61	15	-20	13	33	50	-3	46	54	8	55	65	-15	38	42	35	18	34	63	64	41	66	43	57	52	31	-12	30	4	23	2	-6	45	-4	-26	-11	-23	-7	48	-1	5	56	-8	27	32	59	16	9	20	25	62	-25	58	3	-2	60	22	-21	39	0	19	11	28	7	14	-9	11	-14	40	-18	29	1	-27	-10	36	53	-5	-16	47	24	21	26	-22	17	51	37	6	-19	-13	-17	11
1	50	-10	-6	32	64	27.5	27.5	63	14	57	54	39	6	16	-9	47	60	-27	35	44	9	48	49	7	61	59	-15	46	-2	8	13	40	20	10	51	43	-22	-16	-3	12	53	17	-8	21	-19	41	42	-7	33	25	37	-12	56	30	55	-18	15	-13	23	52	45	18	36	27.5	-17	22	24	11	27.5	2	-4	-21	-26	19	-25	5	65	-14	66	4	58	-20	38	31	-1	34	-24	-11	-23	0	-5	62	3
-1	48	-12	-8	28	53	20.5	20.5	-14	9	64	54	62	51	26	65	43	61	-27	32	39	-13	63	47	4	42	60	40	41	-6	23	8	36	13	6	49	38	-24	14	-5	7	45	11	-11	46	-21	37	31	-10	29	18	34	-16	58	24	56	-22	10	-17	16	-3	44	12	33	20.5	-20	15	17	5	20.5	3	-9	52	27	2	-26	-19	55	57	59	1	50	-23	35	25	-4	30	-18	-15	-25	-2	-7	66	0
58	65	37	57	2	44	-9	-5	59	21	2	45	8	-22	-11	47	43	-27	-12	56	-24	54	63	38	-14	31	-21	-18	23	48	26	19	0	-20	39	15	-1	7	33	64	20	-7	18	13	50	11	27	66	52	16	5	24	-25	62	-8	55	14	-6	61	9	51	-19	12	-4	-15	22	25	-2	-26	29	4	30	40	17	53	60	34	41	36	-16	2	-17	32	10	-13	46	35	-10	-23	-3	28	6	42	49
15	5	6	58	31	16	-8	1	3	-13	45	51	25	7	-22	11	48	-10	-24	28	14	2	43	12	47	39	56	-5	-21	41	20	65	4	-3	-11	-7	35.5	22	23	54	-19	28	28	26	21	42	49	18	53	-23	30	-18	-2	57	-17	10	32	19	-4	34	13	-12	37	35.5	59	44	-6	-14	64	60	24	40	50	66	38	-15	-27	-1	-20	63	62	46	9	55	61	52	-9	-26	0	33	17	-25	8	-16
35	-9	-8	46	14	9.5	-18	-12	2	47	28	37	6	-7	-26	-2	33	-19	-27	9.5	-1	-11	26	45	62	23	42	1	49	13	24	57	-10	-16	-20	32	19.5	3	4	40	-25	9.5	9.5	7	43	25	34	61	39	59	12	-24	-15	44	65	-3	15	17	55	18	31	-21	21	19.5	54	27	-17	51	63	30	5	48	36	65	22	-22	53	-14	60	-4	50	29	-5	41	0	38	65	56	-13	16	52	58	-6	-23
38	-10	-9	49	12	7.5	-19	-14	46	50	27	40	4	-8	-25	-4	35	34	-26	7.5	-3	-12	24	48	63	21	44	-1	52	11	22	57	-11	-18	-20	33	17.5	1	2	43	-23	7.5	7.5	5	45	23	36	59	42	58	10	-24	-17	47	28	-5	13	15	56	16	32	29	19	17.5	37	25	26	54	64	31	3	51	39	66	20	-21	55	-16	60	-13	53	30	-6	61	-2	41	62	65	-15	14	0	-27	-7	-22
-6	-13	-12	47	10	5.5	-21	-16	-2	49	25	37	2	45	-26	-8	32	30	-27	5.5	-7	-15	22	36	54	19	43	-3	17	9	20	62	-14	-20	-22	31	14.5	-1	0	41	57	5.5	5.5	3	44	21	33	56	40	61	8	-25	-19	46	64	-9	11	48	42	13	29	28	16	14.5	34	23	24	52	65.5	27	1	-24	35	65.5	18	-23	53	-18	60	51	50	26	-10	38	-5	39	63	55	-17	12	-4	58	-11	59
-23	-14	-13	43	8	3.5	-22	-17	-4	45	23	34	0	41	-26	-9	30	28	-27	3.5	-8	-16	20	52	51	17	39	-5	15	7	18	61	-15	-21	65.5	29	12.5	-3	-2	37	56	3.5	3.5	1	40	19	31	55	36	59	6	-25	-20	42	64	-10	9	44	38	11	27	26	14	12.5	32	21	22	49	65.5	25	-1	46	33	63	16	-24	50	-19	58	48	47	24	-11	54	-7	35	62	53	-18	10	-6	60	-12	57
16	35	8	34	-9	-13.5	-26	49	-21	36	7	21	39	-24	46	26	18	12	52	-13.5	28	51	48	15	50	0	33	47	4	-10	-19	64	44	23	10	14	-3.5	-20	-23	27	54	-13.5	-13.5	-17	-6	3	19	38	24	63	-11	40	-16	32	42	55	-8	-22	65	-5	41	9	-2	-3.5	20	5	6	59	53	-27	-18	-1	30	43	37	62	60	31	66	56	45	11	-25	2	13	25	57	29	1	-7	22	58	17	61
14	33	7	31	-8	-12.5	-26	45	-21	34	6	20	37	-24	42	18	16	11	49	-12.5	26	48	46	13	47	0	32	44	3	-9	-19	64	43	21	9	12	-3.5	-20	52	25	53	-12.5	-12.5	-16	-5	-17	17	36	23	63	-10	38	-15	30	51	54	-7	-22	65	-23	39	8	-2	-3.5	19	4	5	58	50	-27	-18	-1	28	40	35	62	59	29	66	55	41	10	-25	2	60	24	56	27	1	-6	22	57	15	61
-26	27	5	53	-9	-14.5	28	-17.5	-22	29	36	15	33	-25	39	9	21	-27	47	-14.5	19	46	44	11	45	4	26	43	1	-11	24	62	40	16	7	10	-5.5	-14.5	59	20	51	-1	-14.5	-19	-7	-20	13	31	17	61	-12	34	-17.5	25	41	52	-10	-23	63	-24	35	6	-4	-5.5	14	0	2	57	49	3	-21	32	22	37	30	60	58	23	65	54	38	8	64	-2	50	18	55	66	-3	-8	42	56	12	48
-27	41	4	50	-10	-15	27	-26	-21	29	35	15	32	-24	47	9	25	6	44	20	18	55	42	11	43	3	28	40	0	-12	23	61	38	24	7	10	-6.5	-15	57	19	48	-2	-15	-18	-8	-19	13	59	16	60	-13	33	-17	26	53	49	-11	-22	64	-23	34	5	-5	-6.5	14	-1	1	54	46	2	-20	31	21	36	30	66	56	22	65	63	37	8	62	-3	-25	17	51	58	-4	-9	39	52	12	45
-26	41	-14.5	52	-9	-14.5	27	0.5	-21	29	35	15	32	-24	48	9	25	8	45	20	18	43	42	11	44	5	28	40	2	-11	23	62	38	24	-27	10	-5.5	-14.5	58	19	49	-1	-14.5	-18	-7	-19	13	60	16	61	-12	33	-17	26	55	50	-10	-22	64	-23	34	6	-4	-5.5	14	0.5	3	56	47	4	-20	31	21	36	30	66	57	22	65	59	37	7	51	-2	-25	17	53	63	-3	-8	39	54	12	46
66	36	-18.5	49	-13	-18.5	24	-3.5	-25	26	30	10	57	19	48	4	20	23	41	14	39	40	37	6	38	1	25	35	-2	-15	17	62	33	18	3	5	-9.5	-18.5	56	13	46	-5	-18.5	-22	-11	-23	8	63	12	60	-16	43	-21	22	52	47	-14	-27	64	-8	29	2	-26	-9.5	9	-3.5	-1	54	44	0	-24	28	50	31	27	59	55	16	65	61	32	15	21	-6	45	11	53	58	-7	-12	34	51	7	42
58	35	-18.5	47	-13	-18.5	22	-3.5	-25	25	30	10	56	19	46	4	24	20	41	15	14	53	36	6	40	1	23	34	-2	-16	17	61	33	18	3	5	-9.5	-18.5	55	13	44	-5	-18.5	-22	-11	-23	8	63	12	59	-15	28	-21	21	50	45	-14	-27	62	-8	29	2	-26	-9.5	9	-3.5	-1	52	43	0	-24	27	48	31	26	66	54	64	65	60	32	16	37	-6	38	11	51	57	-7	-12	39	49	7	42
61	35	-17.5	46	-12	-17.5	23	59	-24	25	30	10	47	19	51	22	24	20	39	16	14	53	36	6	38	5	26	34	-1	-15	17	58	32	18	3	4	-8.5	-17.5	55	13	44	-5	-17.5	-21	-10	-22	7	64	12	57	-14	28	-20	21	43	45	-13	-25	60	-7	29	2	-3	-8.5	9	-2	0	52	42	1	-23	27	48	33	40	66	54	62	63	65	31	15	-27	-4	-26	11	50	56	-6	-11	37	49	8	41
66	34	-1	45	-15	-19	21	50	-9	23	29	8	46	20	52	22	24	37	48	15	12	54	35	5	36	4	39	33	-4	-27	17	61	30	18	0	2	-11.5	-19	56	11	43	-25	-19	-22	-13	-23	6	64	10	60	-17	27	-21	19	42	44	-16	-26	62	-10	28	1	-6	-11.5	13	-5	-3	53	41	-2	-24	26	47	32	3	65	55	14	63	59	31	16	38	-7	58	9	51	57	-8	-14	25	49	7	40
66	14	22	48	-10	-13	25	50	-4	29	35	13	27	-23	59	44	26	-24	51	19	17	41	42	9	43	8	34	40	1	-21	23	61	36	21	4	6	-6.5	-13	57	16	47	-18	-13	-16	-8	-3	11	65	39	60	-19	33	-15	24	28	49	-11	-20	62	-5	30	5	-1	-6.5	18	0	2	55	46	3	-17	32	52	38	7	64	56	-25	63	58	37	20	-27	-22	-26	15	54	12	-2	-9	31	53	10	45
